         ti               wi                  yi             |yi - wi|    
   0.0000000000000000       0.50000000000000000       0.50000000000000000        0.0000000000000000     
  0.20000000000000001       0.80000000000000004       0.82929862091991502        2.9298620919914975E-002
  0.40000000000000002        1.1520000000000001        1.2140876511793646        6.2087651179364434E-002
  0.60000000000000009        1.5504000000000002        1.6489405998047459        9.8540599804745721E-002
  0.80000000000000004        1.9884800000000002        2.1272295357537665       0.13874953575376625     
   1.0000000000000000        2.4581760000000004        2.6408590857704777       0.18268308577047732     
   1.2000000000000002        2.9498112000000005        3.1799415386317267       0.23013033863172616     
   1.4000000000000001        3.4517734400000006        3.7324000165776638       0.28062657657766321     
   1.6000000000000001        3.9501281280000007        4.2834837878024432       0.33335565980244253     
   1.8000000000000000        4.4281537536000011        4.8151762677935253       0.38702251419352418     
   2.0000000000000000        4.8657845043200014        5.3054719505346748       0.43968744621467337     
