             ti                       wi                
   0.0000000000000000       0.50000000000000000     
  0.20000000000000001       0.82929333333333333     
  0.40000000000000002        1.2140762106666667     
  0.60000000000000009        1.6489220170415999     
  0.80000000000000004        2.1272026849479433     
   1.0000000000000000        2.6408226927287513     
   1.2000000000000002        3.1798941702322301     
   1.4000000000000001        3.7323400728549792     
   1.6000000000000001        4.2834094983184050     
   1.8000000000000000        4.8150856945794329     
   2.0000000000000000        5.3053630006926529     
