         ti               wi                  yi             |yi - wi|    
   0.0000000000000000       0.50000000000000000       0.50000000000000000        0.0000000000000000     
  0.20000000000000001       0.82929333333333333       0.82929862091991502        5.2875865816925938E-006
  0.40000000000000002        1.2140762106666667        1.2140876511793646        1.1440512697857841E-005
  0.60000000000000009        1.6489220170415999        1.6489405998047459        1.8582763146035575E-005
  0.80000000000000004        2.1272026849479433        2.1272295357537665        2.6850805823208646E-005
   1.0000000000000000        2.6408226927287513        2.6408590857704777        3.6393041726423547E-005
   1.2000000000000002        3.1798941702322301        3.1799415386317267        4.7368399496594549E-005
   1.4000000000000001        3.7323400728549792        3.7324000165776638        5.9943722684696610E-005
   1.6000000000000001        4.2834094983184050        4.2834837878024432        7.4289484038203568E-005
   1.8000000000000000        4.8150856945794329        4.8151762677935253        9.0573214092337651E-005
   2.0000000000000000        5.3053630006926529        5.3054719505346748        1.0894984202192148E-004
