             ti                       wi                
   0.0000000000000000       0.50000000000000000     
  0.20000000000000001       0.80000000000000004     
  0.40000000000000002        1.1520000000000001     
  0.60000000000000009        1.5504000000000002     
  0.80000000000000004        1.9884800000000002     
   1.0000000000000000        2.4581760000000004     
   1.2000000000000002        2.9498112000000005     
   1.4000000000000001        3.4517734400000006     
   1.6000000000000001        3.9501281280000007     
   1.8000000000000000        4.4281537536000011     
   2.0000000000000000        4.8657845043200014     
